"1",1599,1599,1,1599,0,1599,1599
"3",1948,1948,1,1948,0,1948,1948
"4",2569,2569,1,2569,0,2569,2569
"5",1604,1604,1,1604,0,1604,1604
"6",929,929,1,929,0,929,929
"7",512,512,1,512,0,512,512
"8",1707,1707,1,1707,0,1707,1707
END,END,END,END,END,END,END,END
