1,勘探点平面位置图,054,,1
2,工程地质剖面图,069,,2
3,钻孔柱状图,066,,4
4,图例,056,,4
5,勘探点一览表,055,,3
6,分层土工试验成果报告表,078,,3
7,水质分析报告书,089,,3
