1,75,120,粉质粘土:黄褐色,可塑
2,80,150,褐黄色,含黑色氧化物或结核,硬塑
3,78,80,褐黄色,粉质重,均匀,塑性轻,偶见孔隙,可塑偏硬,松散
4,86,110,黄色,上部为可塑偏软粉质粘土,下部为粗砂混土,硬塑
5,80,180,褐黄色,含砾,局部为砾砂,含少量粘性土或夹薄层,可塑
6,90,130,黄色,上部为可塑偏软粉质粘土,下部为粗砂混土,硬塑
7,82,220,黄绿色,含砂粒及铁锰结核,致密,坚硬,软塑
8,95,260,黄绿色,灰绿色,手搓为粘土状或砂状,显微节理,致密,硬塑
