1,1.60, 3435 , 37.8 
2,1.70, 1340 , 17.1 
3,1.80, 6277.22 , 54.3 
4,1.50, 699.33 , 14.4 
5,2.00, 1198 , 17.3 
6,2.30, 7351.74 , 7.2 
7,3.80, 4130.79 , 38.6 
8,2.30, 3553.91 , 29 
9,3.70, 7618.92 , 7.6 
10,3.70, 2729.73 , 37.3 
END,END,END,END
