2-2,5.1,6.8,12
3-3,5.7,6.6,5
4-3,5.7,6.8,9
5-3,5.8,6.8,13
6-3,5.7,6.8,7
7-3,5.7,6.8,7.5
11-2,5.3,6.8,9.5
14-3,6.,6.8,10
18-3,6.1,6.8,7.5
19-3,5.7,6.5,10
END,END,END,END
