0.1,0.860,0.6
,0.07,砂土,81
78,4.9,4.9,
,,,
0.2,0.550,0.4
,0.07,砂土,65
72,3.1,3.1,
,,,
0.3,0.670,0.8
,0.12,砂土,71
74,3.8,3.8,
,,,
0.4,0.910,1.0
,0.11,砂土,84
80,5.2,5.2,
,,,
0.5,0.790,0.7
,0.09,砂土,78
77,4.5,4.5,
,,,
0.6,0.720,0.7
,0.10,砂土,74
75,4.1,4.1,
,,,
0.7,0.780,0.9
,0.12,砂土,77
77,4.5,4.5,
,,,
0.8,0.760,0.8
,0.11,砂土,76
76,4.3,4.3,
,,,
0.9,0.910,0.8
,0.09,砂土,84
80,5.2,5.2,
,,,
1.0,1.060,0.9
,0.08,砂土,91
83,6.1,6.1,
,,,
1.1,1.170,0.8
,0.07,砂土,95
85,6.7,6.7,
,,,
1.2,0.530,0.5
,0.09,砂土,64
71,3.0,3.0,
,,,
1.3,0.340,0.4
,0.12,砂土,52
67,<2.6,<2.6,
,,,
1.4,0.380,1.0
,0.26,砂土,54
68,<2.6,<2.6,
,,,
1.5,0.490,0.3
,0.06,砂土,61
70,2.8,2.8,
,,,
1.6,0.360,0.4
,0.11,砂土,53
67,<2.6,<2.6,
,,,
1.7,0.430,0.3
,0.07,砂土,58
69,<2.6,<2.6,
,,,
1.8,0.280,0.3
,0.11,砂土,47
66,<2.6,<2.6,
,,,
1.9,0.270,0.3
,0.11,砂土,47
65,<2.6,<2.6,
,,,
2.0,0.300,0.8
,0.27,砂土,49
66,<2.6,<2.6,
,,,
2.1,0.760,0.5
,0.07,砂土,76
76,4.3,4.3,
,,,
2.2,0.330,0.6
,0.18,砂土,51
67,<2.6,<2.6,
,,,
2.3,2.140,3.5
,0.16,砂土,133
107,12.2,12.2,
,,,
2.4,1.310,1.4
,0.11,砂土,101
88,7.5,7.5,
,,,
2.5,3.860,2.2
,0.06,砂土,186
144,22.1,22.1,
,,,
2.6,0.980,0.5
,0.05,砂土,87
81,5.6,5.6,
,,,
2.7,0.370,0.4
,0.11,砂土,54
68,<2.6,<2.6,
,,,
2.8,0.380,0.6
,0.16,砂土,54
68,<2.6,<2.6,
,,,
2.9,0.390,0.3
,0.08,砂土,55
68,<2.6,<2.6,
,,,
3.0,0.420,0.6
,0.14,砂土,57
69,<2.6,<2.6,
,,,
3.1,0.870,1.2
,0.14,砂土,82
79,5.0,5.0,
,,,
3.2,1.520,1.5
,0.10,砂土,110
93,8.7,8.7,
,,,
3.3,0.690,0.8
,0.12,砂土,72
75,3.9,3.9,
,,,
3.4,2.650,1.0
,0.04,砂土,150
118,15.2,15.2,
,,,
3.5,0.470,0.4
,0.09,砂土,60
70,2.7,2.7,
,,,
3.6,0.570,0.5
,0.09,砂土,66
72,3.3,3.3,
,,,
3.7,1.440,1.0
,0.07,砂土,107
91,8.2,8.2,
,,,
3.8,1.080,1.2
,0.11,砂土,91
83,6.2,6.2,
,,,
3.9,0.810,0.8
,0.10,砂土,79
77,4.6,4.6,
,,,
4.0,0.800,1.6
,0.20,砂土,78
77,4.6,4.6,
,,,
4.1,2.200,2.1
,0.10,砂土,135
108,12.6,12.6,
,,,
4.2,1.540,0.8
,0.05,砂土,111
93,8.8,8.8,
,,,
4.3,1.530,1.7
,0.11,砂土,110
93,8.8,8.8,
,,,
4.4,2.310,3.1
,0.13,砂土,139
110,13.2,13.2,
,,,
4.5,3.430,3.6
,0.10,砂土,174
135,19.6,19.6,
,,,
4.6,3.540,3.5
,0.10,砂土,177
137,20.2,20.2,
,,,
4.7,3.520,3.7
,0.11,砂土,177
137,20.1,20.1,
,,,
4.8,4.070,4.2
,0.10,砂土,192
149,23.3,23.3,
,,,
4.9,4.280,4.3
,0.10,砂土,198
154,24.5,24.5,
,,,
5.0,4.520,2.3
,0.05,砂土,204
159,25.9,25.9,
,,,
5.1,1.080,0.6
,0.06,砂土,91
83,6.2,6.2,
,,,
5.2,0.470,0.7
,0.15,砂土,60
70,2.7,2.7,
,,,
5.3,0.640,0.5
,0.08,砂土,70
74,3.7,3.7,
,,,
5.4,0.420,0.5
,0.12,砂土,57
69,<2.6,<2.6,
,,,
5.5,0.460,1.2
,0.26,砂土,59
70,2.6,2.6,
,,,
5.6,1.180,1.4
,0.12,砂土,96
85,6.7,6.7,
,,,
5.7,1.230,0.6
,0.05,砂土,98
87,7.0,7.0,
,,,
5.8,0.620,0.6
,0.10,砂土,69
73,3.5,3.5,
,,,
5.9,0.490,0.5
,0.10,砂土,61
70,2.8,2.8,
,,,
6.0,0.430,0.4
,0.09,砂土,58
69,<2.6,<2.6,
,,,
6.1,0.990,1.0
,0.10,砂土,87
81,5.7,5.7,
,,,
6.2,3.340,6.1
,0.18,砂土,171
133,19.1,19.1,
,,,
6.3,8.690,8.4
,0.10,砂土,301
251,>16.5,>16.5,
,,,
6.4,8.570,9.0
,0.11,砂土,298
248,>16.5,>16.5,
,,,
6.5,9.390,8.9
,0.09,砂土,315
266,>16.5,>16.5,
,,,
6.6,8.140,8.6
,0.11,砂土,289
239,>16.5,>16.5,
,,,
6.7,8.730,6.5
,0.07,砂土,302
252,>16.5,>16.5,
,,,
6.8,7.480,7.4
,0.10,砂土,275
224,>16.5,>16.5,
,,,
6.9,6.070,5.2
,0.09,砂土,243
193,34.7,34.7,
,,,
7.0,4.300,4.1
,0.10,砂土,198
154,24.6,24.6,
,,,
7.1,3.980,4.5
,0.11,砂土,190
147,22.8,22.8,
,,,
7.2,4.460,3.6
,0.08,砂土,203
158,25.5,25.5,
,,,
7.3,3.500,4.0
,0.11,砂土,176
137,20.0,20.0,
,,,
7.4,4.370,4.0
,0.09,砂土,200
156,25.0,25.0,
,,,
7.5,3.670,4.5
,0.12,砂土,181
140,21.0,21.0,
,,,
7.6,4.280,4.9
,0.11,砂土,198
154,24.5,24.5,
,,,
7.7,5.230,6.3
,0.12,砂土,222
175,29.9,29.9,
,,,
7.8,5.530,4.3
,0.08,砂土,230
181,31.6,31.6,
,,,
7.9,3.980,4.1
,0.10,砂土,190
147,22.8,22.8,
,,,
8.0,4.200,4.1
,0.10,砂土,196
152,24.0,24.0,
,,,
8.1,4.430,5.4
,0.12,砂土,202
157,25.3,25.3,
,,,
8.2,8.770,12.7
,0.14,砂土,303
252,>16.5,>16.5,
,,,
8.3,13.790,13.8
,0.10,砂土,398
363,>16.5,>16.5,
,,,
8.4,13.900,13.6
,0.10,砂土,399
365,>16.5,>16.5,
,,,
8.5,13.670,13.4
,0.10,砂土,395
360,>16.5,>16.5,
,,,
8.6,12.240,12.0
,0.10,砂土,370
329,>16.5,>16.5,
,,,
8.7,11.760,11.3
,0.10,砂土,361
318,>16.5,>16.5,
,,,
8.8,10.620,9.2
,0.09,砂土,339
293,>16.5,>16.5,
,,,
8.9,6.280,4.2
,0.07,砂土,248
198,35.9,35.9,
,,,
9.0,4.300,5.7
,0.13,砂土,198
154,24.6,24.6,
,,,
9.1,7.580,10.3
,0.14,砂土,277
226,>16.5,>16.5,
,,,
9.2,11.380,12.2
,0.11,砂土,354
310,>16.5,>16.5,
,,,
9.3,12.350,12.4
,0.10,砂土,372
331,>16.5,>16.5,
,,,
9.4,12.940,13.0
,0.10,砂土,383
344,>16.5,>16.5,
,,,
9.5,12.610,11.6
,0.09,砂土,377
337,>16.5,>16.5,
,,,
9.6,9.720,6.7
,0.07,砂土,322
273,>16.5,>16.5,
,,,
9.7,5.500,6.0
,0.11,砂土,229
181,31.5,31.5,
,,,
9.8,6.680,6.3
,0.09,砂土,257
206,>16.5,>16.5,
,,,
9.9,6.410,6.0
,0.09,砂土,251
201,>16.5,>16.5,
,,,
10.0,5.860,7.0
,0.12,砂土,238
188,33.5,33.5,
,,,
10.1,8.620,8.4
,0.10,砂土,299
249,>16.5,>16.5,
,,,
10.2,6.300,5.7
,0.09,砂土,248
198,36.0,36.0,
,,,
10.3,5.730,6.5
,0.11,砂土,235
186,32.8,32.8,
,,,
