1-1,不固结不排水剪UU,18.21,9.90,,,1.74,,
100,166,,3.91,8,7.35
50,100,150,200,250,300,350,400,450,500,550,600,650,680,710,730,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,7,9.5,11,12,12.8,13,13.3,13.8,14.7,14.7,14.7,14.4,14,14,14,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.38,42.31,57.06,65.65,71.16,75.41,76.10,77.34,79.72,84.36,83.80,83.23,80.98,78.41,78.09,77.88,76.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.38,142.31,157.06,165.65,171.16,175.41,176.10,177.34,179.72,184.36,183.80,183.23,180.98,178.41,178.09,177.88,176.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13,1.42,1.57,1.66,1.71,1.75,1.76,1.77,1.80,1.84,1.84,1.83,1.81,1.78,1.78,1.78,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.69,21.16,28.53,32.83,35.58,37.71,38.05,38.67,39.86,42.18,41.90,41.62,40.49,39.21,39.05,38.94,38.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.69,121.16,128.53,132.83,135.58,137.71,138.05,138.67,139.86,142.18,141.90,141.62,140.49,139.21,139.05,138.94,138.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
0.63,1.25,1.88,2.50,3.13,3.75,4.38,5.00,5.63,6.25,6.88,7.50,8.13,8.50,8.88,9.13,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,169.4,,3.91,8,7.35
800,830,860,890,920,950,980,1010,1040,1070,1100,1130,1160,1190,1220,1250,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21.2,21.7,22.4,22.7,23,23.5,23.6,23.7,23.8,24,24,24.5,24.5,24.7,24.2,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.18,116.31,118.55,121.86,122.97,124.07,126.23,126.22,126.22,126.20,126.71,126.16,128.23,127.66,128.14,124.99,123.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310.18,316.31,318.55,321.86,322.97,324.07,326.23,326.22,326.22,326.20,326.71,326.16,328.23,327.66,328.14,324.99,323.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55,1.58,1.59,1.61,1.61,1.62,1.63,1.63,1.63,1.63,1.63,1.63,1.64,1.64,1.64,1.62,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.09,58.15,59.28,60.93,61.49,62.04,63.11,63.11,63.11,63.10,63.36,63.08,64.11,63.83,64.07,62.49,61.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,100
