1,N
1,1-1,.6, 2 , 3 , 4 , 5 , 6 , 7 , 22.9 , 2.74 , 20.1 , 38.1 , 19.4 ,黏土, 1 , 76.3 , 13.4 , 1 , .1 ,16.95, 1 
2,3-1,2.5, 0 , 0 , 0 , 0 , 0 , 0 , 21.9 , 2.72 , 20 , 32.2 , 18.3 ,粉质黏土, 1 , 52.5 , 16.6 , 1 , .12 ,13.5, 0 
2,4-1,2.6, 0 , 0 , 0 , 0 , 0 , 0 , 25 , 2.73 , 19.1 , 33.5 , 20.4 ,粉质黏土, 1 , 53.5 , 16.5 , 1 , .14 ,13.5, 0 
2,5-1,1.7, 0 , 0 , 0 , 0 , 0 , 0 , 18.4 , 2.7 , 20.7 , 28.2 , 17.7 ,粉质黏土, 1 , 62.1 , 24.8 , 1 , .08 ,20.4, 0 
2,6-1,1.5, 0 , 0 , 0 , 0 , 0 , 0 , 19.7 , 2.71 , 19.4 , 28.4 , 16.3 ,粉质黏土, 1 , 22.5 , 27.4 , 1 , .18 ,9.1, 0 
2,7-1,1.5, 0 , 0 , 0 , 0 , 0 , 0 , 23.2 , 2.72 , 19.4 , 32.9 , 18.7 ,粉质黏土, 0 , 22.8 , 21.8 , 1 , .18 ,9.9, 0 
2,8-1,2.1, 0 , 0 , 0 , 0 , 0 , 0 , 20.6 , 2.71 , 19.5 , 29.8 , 17.3 ,粉质黏土, 1 , 44.9 , 23.8 , 1 , .1 ,16.4, 0 
2,9-1,1.6, 0 , 0 , 0 , 0 , 0 , 0 , 22.1 , 2.72 , 19.6 , 32.7 , 17.7 ,粉质黏土, 1 , 36.5 , 22 , 1 , .12 ,14.1, 0 
2,10-1,1.6, 0 , 0 , 0 , 0 , 0 , 0 , 21 , 2.71 , 20.5 , 30 , 17 ,粉质黏土, 1 , 54.9 , 14.5 , 1 , .18 ,8.9, 0 
2,11-1,2.0, 0 , 0 , 0 , 0 , 0 , 0 , 22.7 , 2.7 , 20 , 29.9 , 19.5 ,粉质黏土, 1 , 43.5 , 23.1 , 0 , 0 ,., 0 
