"2",6,16.5,16,9.8125,.310716627561585,7.90625,8.45795164738843
"3",7,42,10,11.95,.888775331257799,9.475,5.73008026293134
"4",3,80,15,10.8333333333333,1.77073992013244,6.91666666666667,1.99452823754618
"5",5,13,10,9.05,.26489905911395,7.025,7.64604276802676
"6",9,32,27,19.5,.320650857849247,14.25,17.4094002498036
"7",10,45,24,20.0416666666667,.443480707189791,15.0208333333333,16.8779583937334
"8",20,100,18,56,.443456493316521,38,45.6673769186914
END,END,END,END,END,END,END,END
