10-2,不固结不排水剪UU,19.21,22.69,,,,,
50,,,3.91,8,
0.055,0.110,0.214,0.319,0.524,0.728,0.933,1.142,1.347,1.850,2.354,2.858,3.362,3.865,4.366,4.868,5.371,5.873,6.375,6.884,7.387,7.891,8.393,8.894,9.395,9.897,10.398,10.900,11.403,12.076,12.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.892,16.899,25.036,29.417,38.805,45.690,51.323,56.956,61.337,73.855,85.121,94.510,104.524,113.286,120.171,125.178,130.185,135.819,138.948,142.077,145.207,148.336,150.214,152.092,153.969,155.221,156.473,158.976,162.106,88.251,165.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.532,0.000,1.064,2.128,4.255,4.787,5.851,7.447,8.511,9.043,10.106,9.043,8.511,7.979,7.447,6.383,4.787,3.723,3.723,2.128,1.596,0.000,-1.064,-1.064,-1.596,-2.660,-3.192,-3.723,-3.723,-53.723,-4.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.90,14.05,20.79,24.40,32.11,37.71,42.24,46.76,50.22,60.09,68.81,75.90,83.39,89.79,94.62,97.91,101.14,104.81,106.50,108.14,109.77,111.35,111.98,112.58,113.17,113.28,113.38,114.36,115.76,62.40,116.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.90,64.05,70.79,74.40,82.11,87.71,92.24,96.76,100.22,110.09,118.81,125.90,133.39,139.79,144.62,147.91,151.14,154.81,156.50,158.14,159.77,161.35,161.98,162.58,163.17,163.28,163.38,164.36,165.76,112.40,166.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.20,1.28,1.42,1.49,1.64,1.75,1.84,1.94,2.00,2.20,2.38,2.52,2.67,2.80,2.89,2.96,3.02,3.10,3.13,3.16,3.20,3.23,3.24,3.25,3.26,3.27,3.27,3.29,3.32,2.25,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.95,7.03,10.40,12.20,16.05,18.85,21.12,23.38,25.11,30.04,34.40,37.95,41.70,44.89,47.31,48.95,50.57,52.41,53.25,54.07,54.88,55.68,55.99,56.29,56.59,56.64,56.69,57.18,57.88,31.20,58.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.95,57.03,60.40,62.20,66.05,68.85,71.12,73.38,75.11,80.04,84.40,87.95,91.70,94.89,97.31,98.95,100.57,102.41,103.25,104.07,104.88,105.68,105.99,106.29,106.59,106.64,106.69,107.18,107.88,81.20,108.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07,0.14,0.27,0.40,0.66,0.91,1.17,1.43,1.68,2.31,2.94,3.57,4.20,4.83,5.46,6.09,6.71,7.34,7.97,8.61,9.23,9.86,10.49,11.12,11.74,12.37,13.00,13.63,14.25,15.10,15.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
