1, 1,3,57.75,0.66,15.32,2.00,0.05
2, 2.6,3,7.90,0.32,2.10,0.27,0.00
3, 3.7,3,212.10,4.76,1.62,7.36,0.00
4, 5.6,4,123.90,5.24,0.99,4.30,1.84
5, 6.4,3,352.25,5.91,1.18,12.23,0.00
6, 8,36,697.03,3.76,3.69,24.19,0.00
7, 9.9,2,769.13,2.56,4.39,26.69,0.00
8, 20,66,711.49,2.49,2.45,24.69,0.00
