533,2,12.52,1000,6.27,2000
2,7.2,12.52,14.2,6.27
1,1.6,1000,2
2,3.2,2600,3
3,4.3,1700,2
4,5.9,1300,3
5,6.6,4000,3
6,12.5,13000,36
7,13.6,7000,2
8,14.2,11000,66

