1-1,,,,,,,,43.6,48.9,8.7,,,4.84,0.64,,
 .012 , .02 , .041 , .056 , .072 
1-2,25.3,14.8,13.2,11.0,35.7,,,,,,,,13.64,0.35,,
 .737 , 1.602 , 5.946 , 10.051 , 0 
1-3,,,,,,,,46.5,47.8,8.9,,,4.77,0.81,,
 .012 , .025 , .045 , .06 , .072 
