1,褐色,黄褐色,可塑
2,褐黄色,含黑色氧化物或结核,硬塑
3,褐黄色,粉质重,均匀,塑性轻,偶见孔隙,可塑偏硬,松散
4,黄色,上部为可塑偏软粉质粘土,下部为粗砂混土,硬塑
5,褐黄色,含砾,局部为砾砂,含少量粘性土或夹薄层,可塑
6,黄色,上部为可塑偏软粉质粘土,下部为粗砂混土,硬塑
