76.3,13.4,,,,,,,,,,,,,,,,,,,,,,,
49,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60,9.3,,,,,,,,,,,,,,,,,
31.8,23,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
66.3,20.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,95,7.6,,,,,,,,,,,,,,,,,
42.1,16.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
57.7,23.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
52.5,16.6,,,,,,,,,,,,,,,,,,,,,,,
42.1,24,,,,,,,,,,,,,,,,,,,,,,,
83.9,22.2,,,,,,,,,,,,,,,,,,,,,,,
53.5,16.5,,,,,,,,,,,,,,,,,,,,,,,
56.9,24.7,,,,,,,,,,,,,,,,,,,,,,,
34.7,24.2,,,,,,,,,,,,,,,,,,,,,,,
62.1,24.8,,,,,,,,,,,,,,,,,,,,,,,
35.2,26.5,,,,,,,,,,,,,,,,,,,,,,,
22.5,27.4,,,,,,,,,,,,,,,,,,,,,,,
49.2,16,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
31.3,15.4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
44.9,23.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,40,7.6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
36.5,22,,,,,,,,,,,,,,,,,,,,,,,
41.7,11.7,,,,,,,,,,,,,,,,,,,,,,,
19.7,23.2,,,,,,,,,,,,,,,,,,,,,,,
54.9,14.5,,,,,,,,,,,,,,,,,,,,,,,
25.6,26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
43.5,23.1,,,,,,,,,,,,,,,,,,,,,,,
25.4,18.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,94,15.7,,,,,,,,,,,,,,,,,
,,,,,,31,9.7,,,,,,,,,,,,,,,,,
26.9,22,,,,,,,,,,,,,,,,,,,,,,,
32.6,15.4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20,11.8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
40.1,25.3,,,,,,,,,,,,,,,,,,,,,,,
58.1,12.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,57,8.2,,,,,,,,,,,,,,,,,
18.1,29.6,,,,,,,,,,,,,,,,,,,,,,,
38.2,27,,,,,,,,,,,,,,,,,,,,,,,
30.5,18.5,,,,,,,,,,,,,,,,,,,,,,,
43.7,11.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
21.4,26.3,,,,,,,,,,,,,,,,,,,,,,,
48,9.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
29.4,20.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,39,12.7,,,,,,,,,,,,,,,,,
9.3,28.6,,,,,,,,,,,,,,,,,,,,,,,
50.8,23.6,,,,,,,,,,,,,,,,,,,,,,,
60.1,11.8,,,,,,,,,,,,,,,,,,,,,,,
17.1,27.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
45.5,20.7,,,,,,,,,,,,,,,,,,,,,,,
42.3,13,,,,,,,,,,,,,,,,,,,,,,,
41.6,10.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
60.1,22.4,,,,,,,,,,,,,,,,,,,,,,,
46.2,12.5,,,,,,,,,,,,,,,,,,,,,,,
41,13,,,,,,,,,,,,,,,,,,,,,,,
16.1,22.2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
