1, 1.6,0.0,3,粉质粘土
2, 3.2,0.0,3,粉质粘土
3, 4.3,0.0,3,粉质粘土
4, 5.9,21.7,4,粉土
5, 6.6,12.4,3,粉质粘土
6, 12.5,26.3,36,粗砾砂
7, 13.6,23.5,2,粘土
8, 26,11.9,3066,强风化花岗岩
