"1",31,84.5,2,57.75,.655068619800525,44.375,-32.0744338619752
"1",.427,.899,2,.663,.503400302745174,.545,-.129469771642099
"1",8.532,22.112,2,15.322,.626713881250053,11.927,-7.47829554851632
"1",1.07,2.93,2,2,.657609306503489,1.535,-1.12286816791166
"1",.028,.074,2,.051,.637782586952572,.0395,-2.62322235074927E-02
"1",.6,.76,2,.68,.166378066161541,.64,.411366179104373
"1",2.51,9.67,2,6.09,.831343933217681,4.3,-5.9313634850793
"1",14.8,31.8,2,23.3,.515914818891472,19.05,-5.24234347016034
"1",431.35,1698.31,2,1064.83,.841332426295379,748.09,-1062.34691076202
"2",7.9,31,2,19.45,.839802912360373,13.675,-19.3340078918061
"2",.32,.427,2,.3735,.202571420580885,.34675,.19385113227605
"2",1.449,8.532,2,4.9905,1.0035942953901,3.21975,-6.90158345877328
"2",.27,1.07,2,.67,.844306604401848,.47,-.673169104478134
"2",.028,.028,1,.028,0,.028,.028
"2",.55,.6,2,.575,6.14875461901345E-02,.5625,.491051930970117
"2",.23,2.51,2,1.37,1.17679084752214,.8,-2.45803194776268
"2",3.5,14.8,2,9.15,.873257554907977,6.325,-9.82226360075364
"2",97.76,431.35,2,264.555,.891624619213473,181.1575,-295.529726953576
"3",199,225.2,2,212.1,8.73465236543495E-02,205.55,168.111211828341
"3",4.48,5.034,2,4.757,8.23496230349689E-02,4.6185,3.82685539514889
"3",1.55,1.69,2,1.62,6.11079934358744E-02,1.585,1.38494540671633
"3",6.9,7.82,2,7.36,8.83883476483184E-02,7.13,5.81535552985015
"3",.028,.028,1,.028,0,.028,.028
"3",.79,.79,2,.79,0,.79,.79
"3",6.08,7.47,2,6.775,.145074306398421,6.4275,4.44124368096924
"3",13.9,19.8,2,16.85,.247592285400631,15.375,6.94412785447376
"3",6904.04,7814.87,2,7359.455,8.75138267043066E-02,7131.7475,5830.20660571023
"4",.5,192.7,4,123.9,.7352474918821,62.2,19.6506826680526
"4",1.899,10.809,4,5.24475,.737243697582242,3.571875,.819842240887648
"4",.419,1.329,3,.994666666666667,.503390584916323,.706833333333333,.241814066982379
"4",.02,6.69,4,4.3025,.734773833963046,2.16125,.684713591146115
"4",1.843,1.843,1,1.843,0,1.843,1.843
"4",.79,.79,4,.79,0,.79,.79
"4",3.24,5.68,3,4.86666666666667,.289466025374525,4.05333333333333,2.74851769726483
"4",19.4,20.6,2,20,.042426406871193,19.7,17.9852463432828
"4",18.22,6685.45,4,4180.4475,.763883629354802,2099.33375,526.028516752237
"5",437.3,437.3,1,437.3,0,437.3,437.3
"5",8.072,8.072,1,8.072,0,8.072,8.072
"5",1.062,1.062,1,1.062,0,1.062,1.062
"5",15.18,15.18,1,15.18,0,15.18,15.18
"5",1.843,1.843,1,1.843,0,1.843,1.843
"5",.79,.79,1,.79,0,.79,.79
"5",12.9,12.9,1,12.9,0,12.9,12.9
"5",19.4,20.6,2,20,.042426406871193,19.7,17.9852463432828
"5",15174.32,15174.32,1,15174.32,0,15174.32,15174.32
"6",267.2,995.9,4,589.575,.603080640711533,428.3875,182.679573077077
"6",2.449,5.982,4,3.75525,.421064305121129,3.102125,1.94576226816437
"6",.889,5.499,4,3.08825,.75708990085861,1.988625,.412606396959995
"6",9.27,34.56,4,20.46,.603071149048177,14.865,6.33974488491152
"6",1.843,1.843,1,1.843,0,1.843,1.843
"6",.79,.79,4,.79,0,.79,.79
"6",7.88,29.37,4,17.3875,.603003137443226,12.63375,5.38905192328094
"6",12.2,169.2,4,88.375,.898163041499203,50.2875,-2.45994734315813
"6",9272.19,34085.81,4,19997.8725,.596361308863457,14635.03125,6350.10497910732
"7",778.6,1028.5,4,867.575,.13311898462846,823.0875,735.410326652484
"7",1.971,2.449,4,2.223,8.81928538010558E-02,2.097,1.99864217541654
"7",4.675,5.974,4,5.26325,.108414970237194,4.969125,4.61025235397702
"7",27.02,35.69,4,30.105,.133125063306026,28.5625,25.5186539459713
"7",1.843,1.843,1,1.843,0,1.843,1.843
"7",.79,.79,4,.79,0,.79,.79
"7",22.96,30.33,4,25.585,.133125627585771,24.2725,21.6872367988483
"7",143.3,206.3,4,172.55,.151065717750481,157.925,142.720275403966
"7",24446.93,33138.5,4,27826.455,.13831554759211,26136.6925,23421.9486114019
"8",381.7,1137.7,21,695.928571428572,.482823287728301,538.814285714286,567.421013483624
"8",1.902,3.785,21,2.55419047619048,.273404675335443,2.22809523809524,2.28711438409396
"8",.878,4.073,21,2.39285714285714,.564964450628969,1.63542857142857,1.8758295899977
"8",13.24,39.48,21,24.1480952380952,.482884993581553,18.6940476190476,19.6884287252613
"8",1.843,1.843,1,1.843,0,1.843,1.843
"8",.79,.79,21,.79,4.32015215414003E-16,.79,.79
"8",11.26,33.56,21,20.5271428571429,.482817795507671,15.8935714285714,16.7367208198164
"8",36.9,242.7,21,124.238095238095,.665133384008994,80.5690476190476,92.6342937343228
"8",13243.38,34650,21,22253.2419047619,.441558604722371,17748.310952381,18495.2361905262
END,END,END,END,END,END,END,END
