061,6,8
1-2,0.5,1251,31.4,1
1,2.5,1288,38,1
1-3,3.9,736,19,1
2,4.4,644,29.5,1
3-1,6.3,1012,53.2,1
3,7.7,570,20.9,1
4,11.5,2024,107.4,1
