1, 10 
1, 1 
2, 16 
2-1, 1 
3, 12 
4, 18 
5, 11 
6, 8 
7, 5 
8, 1 
, 3 
7,2-1,3.1, 0 , 0 , 0 , 0 , 0 , 0 , 23.7 , 2.73 , 19.9 , 16.0873080032336 , .663551724137931 , 97.5070934885412 , 35.9 , 18.9 , 17 , .282352941176471 ,粉质黏土, 4 , 95 , 7.6 , 0 , 0 ,., 145 , 0 
20,5-2,3.6, 0 , 0 , 0 , 0 , 0 , 0 , 20.8 , 2.72 , 19.9 , 16.4735099337748 , .618600985221675 , 91.4579856023444 , 30.9 , 16.7 , 14.2 , .288732394366197 ,粉质黏土, 1 , 35.2 , 26.5 , 1 , .14 ,11.5, 0 , 0 
22,6-2,3.6, 0 , 0 , 0 , 0 , 0 , 0 , 21.1 , 2.72 , 19.6 , 16.1849710982659 , .64696 , 88.7102757512056 , 30.9 , 17.4 , 13.5 , .274074074074074 ,粉质黏土, 1 , 49.2 , 16 , 1 , .16 ,10.5, 0 , 0 
25,7-2,3.3, 0 , 0 , 0 , 0 , 0 , 0 , 25 , 2.73 , 19.3 , 15.44 , .732233502538071 , 93.207972270364 , 37.7 , 19.7 , 18 , .294444444444444 ,黏土, 1 , 31.3 , 15.4 , 1 , .2 ,9.2, 0 , 0 
32,9-2,3.7, 0 , 0 , 0 , 0 , 0 , 0 , 25.5 , 2.72 , 19.8 , 15.7768924302789 , .68990099009901 , 100 , 33 , 19 , 14 , .464285714285714 ,粉质黏土, 1 , 41.7 , 11.7 , 1 , .24 ,6.9, 0 , 0 
35,10-2,3.7, 0 , 0 , 0 , 0 , 0 , 0 , 22.5 , 2.72 , 20.1 , 16.4081632653061 , .625365853658537 , 97.8627145085803 , 32.6 , 18.8 , 13.8 , .268115942028985 ,粉质黏土, 1 , 25.6 , 26 , 1 , .2 ,7.9, 0 , 0 
44,13-2,3.3, 0 , 0 , 0 , 0 , 0 , 0 , 26.5 , 2.73 , 19.3 , 15.2569169960474 , .753020304568528 , 96.0731066095925 , 37.1 , 19.1 , 18 , .411111111111111 ,黏土, 1 , 32.6 , 15.4 , 1 , .22 ,8.2, 0 , 0 
48,14-2,3.4, 0 , 0 , 0 , 0 , 0 , 0 , 26.5 , 2.74 , 19.4 , 15.3359683794466 , .750555555555556 , 96.741672834937 , 40.1 , 20.2 , 19.9 , .316582914572864 ,黏土, 1 , 58.1 , 12.5 , 0 , 0 ,., 0 , 0 
52,15-2,3.1, 0 , 0 , 0 , 0 , 0 , 0 , 24.9 , 2.74 , 19.7 , 15.7726180944756 , .702616915422886 , 97.1027006358602 , 38 , 18.2 , 19.8 , .338383838383838 ,黏土, 1 , 30.5 , 18.5 , 1 , .11 ,15.6, 0 , 0 
62,18-2,3.6, 0 , 0 , 0 , 0 , 0 , 0 , 24.9 , 2.73 , 19.5 , 15.6124899919936 , .713452261306533 , 95.278974763518 , 37.3 , 20.4 , 16.9 , .266272189349112 ,粉质黏土, 1 , 60.1 , 11.8 , 1 , .15 ,11.5, 0 , 0 
68,19-2,3.2, 0 , 0 , 0 , 0 , 0 , 0 , 25.9 , 2.73 , 19.4 , 15.4090548054011 , .735893939393939 , 96.0831394510902 , 37.6 , 20 , 17.6 , .335227272727273 ,黏土, 1 , 42.3 , 13 , 1 , .14 ,12.8, 0 , 0 
73,20-2,3.6, 0 , 0 , 0 , 0 , 0 , 0 , 25.9 , 2.74 , 19.4 , 15.4090548054011 , .742252525252525 , 95.6089707823578 , 40.8 , 21 , 19.8 , .247474747474747 ,黏土, 1 , 46.2 , 12.5 , 1 , .14 ,12.4, 0 , 0 
3,1-3,4.6, 0 , 0 , 0 , 0 , 0 , 0 , 21.1 , 2.71 , 20.1 , 16.597853014038 , .600882926829269 , 95.1616320698809 , 30.9 , 17.6 , 13.3 , .263157894736842 ,粉质黏土, 4 , 60 , 9.3 , 0 , 0 ,., 135 , 0 
8,2-2,4.3, 0 , 0 , 0 , 0 , 0 , 0 , 21.7 , 2.72 , 19.7 , 16.1873459326212 , .646885572139304 , 91.2433396911339 , 31.8 , 17.3 , 14.5 , .303448275862069 ,粉质黏土, 1 , 42.1 , 16.1 , 1 , .21 ,7.9, 0 , 0 
14,3-2,4.3, 0 , 0 , 0 , 0 , 0 , 0 , 19 , 2.73 , 19.9 , 16.7226890756303 , .600344827586207 , 86.4003446295232 , 31.8 , 15.6 , 16.2 , .209876543209877 ,粉质黏土, 1 , 42.1 , 24 , 1 , .2 ,8.2, 0 , 0 
17,4-2,3.6, 0 , 0 , 0 , 0 , 0 , 0 , 19.9 , 2.71 , 19.5 , 16.2635529608007 , .632809045226131 , 85.2216010609152 , 32.2 , 18.1 , 14.1 , .127659574468085 ,粉质黏土, 1 , 56.9 , 24.7 , 1 , .14 ,11.8, 0 , 0 
18,4-3,4.6, 0 , 0 , 0 , 0 , 0 , 0 , 19.8 , 2.72 , 19.6 , 16.3606010016695 , .62928 , 85.58352402746 , 28.8 , 16.3 , 12.5 , .28 ,粉质黏土, 1 , 34.7 , 24.2 , 1 , .13 ,12.5, 0 , 0 
28,8-2,4.1, 0 , 0 , 0 , 0 , 0 , 0 , 23.2 , 2.72 , 19.7 , 15.9902597402597 , .66718407960199 , 94.5825926146871 , 31.6 , 17.6 , 14 , .4 ,粉质黏土, 4 , 40 , 7.6 , 0 , 0 ,., 126 , 0 
38,11-2,4.5, 0 , 0 , 0 , 0 , 0 , 0 , 22.2 , 2.71 , 19.7 , 16.1211129296236 , .647572139303483 , 92.9039350962646 , 30.7 , 19 , 11.7 , .273504273504273 ,粉质黏土, 1 , 25.4 , 18.6 , 1 , .22 ,7.8, 0 , 0 
45,13-3,5.3, 0 , 0 , 0 , 0 , 0 , 0 , 21.3 , 2.71 , 20.4 , 16.8178070898598 , .580399038461539 , 99.4539897119853 , 28.2 , 15.6 , 12.6 , .452380952380952 ,粉质黏土, 4 , 20 , 11.8 , 0 , 0 ,., 0 , 0 
49,14-3,4.3, 0 , 0 , 0 , 0 , 0 , 0 , 22.3 , 2.71 , 20.2 , 16.5167620605069 , .608898058252427 , 99.2497827525452 , 30.9 , 18.8 , 12.1 , .289256198347107 ,粉质黏土, 4 , 57 , 8.2 , 0 , 0 ,., 101 , 0 
50,14-4,5.6, 0 , 0 , 0 , 0 , 0 , 0 , 23.7 , 2.71 , 19.7 , 15.9256265157639 , .667796019900498 , 96.177572321515 , 28.2 , 15.9 , 12.3 , .634146341463415 ,粉质黏土, 1 , 18.1 , 29.6 , 0 , 0 ,., 0 , 0 
53,15-3,5.0, 0 , 0 , 0 , 0 , 0 , 0 , 22 , 2.71 , 20.1 , 16.4754098360656 , .612780487804878 , 97.2942206654991 , 28.6 , 16.2 , 12.4 , .467741935483871 ,粉质黏土, 1 , 43.7 , 11.9 , 1 , .19 ,8.5, 0 , 0 
56,16-2,4.2, 0 , 0 , 0 , 0 , 0 , 0 , 23.1 , 2.72 , 19.5 , 15.8407798537774 , .682572864321608 , 92.0517109370398 , 31.1 , 16.8 , 14.3 , .440559440559441 ,粉质黏土, 1 , 48 , 9.3 , 1 , .23 ,7.69, 0 , 0 
59,17-2,4.3, 0 , 0 , 0 , 0 , 0 , 0 , 23.4 , 2.72 , 19.8 , 16.0453808752026 , .661623762376238 , 96.1996887345864 , 32.6 , 18.1 , 14.5 , .36551724137931 ,粉质黏土, 4 , 39 , 12.7 , 0 , 0 ,., 0 , 0 
60,17-3,5.6, 0 , 0 , 0 , 0 , 0 , 0 , 21.8 , 2.71 , 20.3 , 16.6666666666667 , .594579710144928 , 99.3609418417589 , 29.4 , 16.3 , 13.1 , .419847328244275 ,粉质黏土, 1 , 9.3 , 28.6 , 1 , .14 ,11.3, 0 , 0 
63,18-3,5.4, 0 , 0 , 0 , 0 , 0 , 0 , 23.3 , 2.71 , 20 , 16.220600162206 , .637955882352941 , 98.9770636914778 , 26.3 , 14.8 , 11.5 , .739130434782609 ,粉质黏土, 1 , 17.1 , 27.6 , 0 , 0 ,., 0 , 0 
69,19-3,4.7, 0 , 0 , 0 , 0 , 0 , 0 , 21.2 , 2.71 , 20.2 , 16.6666666666667 , .594427184466019 , 96.6510306079117 , 29.9 , 16.9 , 13 , .330769230769231 ,粉质黏土, 1 , 41.6 , 10.5 , 1 , .21 ,7.8, 0 , 0 
