1, 1.4,870.71,0.8,3,,,,
2, 2.5,1706.36,2.0,3,,,,
3, 4,3696.00,3.6,3,,,,
4, 5.4,3030.71,2.9,4,,,,
5, 6.4,4008.00,4.0,3,,,,
6, 10.1,7618.92,7.6,36,,,,
7, 12.4,8538.70,8.3,2,,,,
8, 14,10306.25,10.4,66,,,,
