0.1,1.120,31.3
,2.79,粉质粘土,158
155,5.4,5.8,
,,,
0.2,1.280,35.8
,2.80,粉质粘土,172
173,6.1,6.5,
,,,
0.3,1.090,45.4
,4.17,粘土,155
152,5.3,5.7,
,,,
0.4,0.790,44.7
,5.66,粘土,125
117,4.0,4.5,
,,,
0.5,0.560,32.6
,5.82,软土,74
74,3.0,3.6,
,,,
0.6,0.580,27.0
,4.66,软土,76
76,3.1,3.6,
,,,
0.7,0.780,21.9
,2.81,粉质粘土,124
116,3.9,4.5,
,,,
0.8,0.710,20.3
,2.86,粉质粘土,116
108,3.6,4.2,
,,,
0.9,0.640,10.6
,1.66,软土,84
84,3.3,3.9,
,,,
1.0,0.450,8.5
,1.89,软土,60
60,2.6,3.1,
,,,
1.1,0.510,10.1
,1.98,软土,68
68,2.8,3.3,
,,,
1.2,0.610,11.9
,1.95,软土,80
80,3.2,3.8,
,,,
1.3,0.520,11.3
,2.17,软土,69
69,2.9,3.4,
,,,
1.4,0.290,10.9
,3.76,软土,41
41,1.9,2.4,
,,,
1.5,0.450,11.4
,2.53,软土,60
60,2.6,3.1,
,,,
1.6,0.440,10.9
,2.48,软土,59
59,2.6,3.1,
,,,
1.7,0.510,15.3
,3.00,软土,68
68,2.8,3.3,
,,,
1.8,0.360,10.3
,2.86,软土,49
49,2.2,2.7,
,,,
1.9,0.280,9.5
,3.39,软土,39
39,1.9,2.4,
,,,
2.0,0.290,5.2
,1.79,软土,41
41,1.9,2.4,
,,,
2.1,0.760,4.8
,0.63,粉土,76
75,4.5,4.4,
,,,
2.2,0.660,8.0
,1.21,粉土,71
71,4.4,4.0,
,,,
2.3,0.320,9.8
,3.06,软土,44
44,2.1,2.6,
,,,
2.4,0.340,6.7
,1.97,软土,47
47,2.2,2.7,
,,,
2.5,0.230,4.9
,2.13,软土,33
33,1.6,2.2,
,,,
2.6,0.340,5.5
,1.62,软土,47
47,2.2,2.7,
,,,
2.7,0.650,7.0
,1.08,粉土,70
70,4.4,3.9,
,,,
2.8,0.500,7.5
,1.50,粉土,62
64,4.1,3.3,
,,,
2.9,0.500,7.9
,1.58,粉土,62
64,4.1,3.3,
,,,
3.0,0.260,6.8
,2.62,软土,37
37,1.8,2.3,
,,,
3.1,0.240,6.4
,2.67,软土,35
35,1.7,2.2,
,,,
3.2,0.300,6.6
,2.20,软土,42
42,2.0,2.5,
,,,
3.3,0.290,6.7
,2.31,软土,41
41,1.9,2.4,
,,,
3.4,0.320,8.3
,2.59,软土,44
44,2.1,2.6,
,,,
3.5,0.570,18.1
,3.18,软土,75
75,3.1,3.6,
,,,
3.6,0.670,16.0
,2.39,软土,88
88,3.4,4.0,
,,,
3.7,0.320,12.2
,3.81,软土,44
44,2.1,2.6,
,,,
3.8,0.340,12.4
,3.65,软土,47
47,2.2,2.7,
,,,
3.9,0.380,10.1
,2.66,软土,52
52,2.3,2.8,
,,,
4.0,0.270,7.6
,2.81,软土,38
38,1.8,2.4,
,,,
4.1,0.540,9.8
,1.81,软土,72
72,2.9,3.5,
,,,
4.2,1.590,12.5
,0.79,粉土,113
108,5.7,7.8,
,,,
4.3,4.280,15.6
,0.36,砂土,198
154,24.5,24.5,
,,,
4.4,1.960,33.4
,1.70,粉质粘土,223
251,9.1,9.3,
,,,
4.5,0.470,33.8
,7.19,软土,63
63,2.7,3.2,
,,,
4.6,1.150,19.6
,1.70,粉质粘土,160
158,5.5,6.0,
,,,
4.7,0.990,20.0
,2.02,粉质粘土,145
140,4.8,5.3,
,,,
4.8,0.930,18.9
,2.03,粉质粘土,140
133,4.6,5.1,
,,,
4.9,0.520,19.4
,3.73,软土,69
69,2.9,3.4,
,,,
5.0,0.370,11.0
,2.97,软土,51
51,2.3,2.8,
,,,
5.1,0.410,10.2
,2.49,软土,56
56,2.4,2.9,
,,,
5.2,0.700,11.4
,1.63,软土,91
91,3.5,4.1,
,,,
5.3,0.340,8.0
,2.35,软土,47
47,2.2,2.7,
,,,
5.4,0.390,9.4
,2.41,软土,53
53,2.4,2.9,
,,,
5.5,0.920,18.2
,1.98,粉质粘土,139
132,4.5,5.0,
,,,
