1,3.1,3.8,42
,4.9,5.8,6.5
,6.5,7.8,9
,8.4,9.8,25
,10.1,11.8,38
,12.1,12.8,82
,3.5,4.8,10
,5.1,6.8,12
,6.9,7.8,26
,9.2,10.7,16
,10.9,12.6,83
3,1.8,2.6,9
,3.8,4.8,80
,5.7,6.6,5
,8.3,9.8,16
,10.1,11.6,26
,11,11.6,43
4,1.8,2.6,16
,4,5.8,8
,5.7,6.8,9
,7.1,8.8,24
,8.8,9.8,27
,10.7,11.8,45
5,2,3.8,8.5
,4,4.8,6
,5.8,6.8,13
,7.6,8.6,21
,9.1,9.8,10
,11,12.8,90
6,1.9,2.7,9
,4,4.8,6
,5.7,6.8,7
,8.3,9.6,20
,9.4,10.8,20
,11.5,12.8,76
7,1.8,2.7,7.5
,3.8,4.8,6.5
,5.7,6.8,7.5
,7.8,9.7,10
,10.1,11.6,21
,12,13.8,49
8,2.5,3.7,8
,4.5,5.6,5.5
,6.6,6.8,15
,8.5,9.8,24
,10.3,11.6,11
9,2,2.8,6
,4.1,5.6,5
,6.3,7.8,17
,9.6,11.6,11.5
,11.6,12.8,16
,13.6,14.8,72
10,2.05,3.8,7
,4.1,4.8,5.5
,6.4,7.8,22
,9.9,12.8,12
,11.2,12.8,13
11,2.6,3.8,9
,5.3,6.8,9.5
,6.4,7.8,12
,8.2,9.8,19
,10.1,10.8,14
,12.6,13.8,80
12,2.2,3.6,11.5
,4.2,5.6,8
,6.8,7.8,29
,8.6,9.8,13
,10.6,12.6,26
,12.7,14.6,57
13,2,2.7,6
,3.4,4.8,7
,5.7,6.6,3.5
,7.3,8.6,23
,10.6,11.8,45
,12.1,13.8,16
14,2,2.8,9
,3.7,4.8,8
,6,6.8,10
,8.9,9.8,11
,10.8,11.6,30
,12.8,13.8,25
15,1.6,2.6,10
,3.5,4.8,7
,5.6,6.5,3
,7.1,7.8,20
,8.8,9.8,16
,10.7,11.6,13
16,2.6,3.8,8.5
,4.5,5.8,6
,6.5,7.8,29
,10.3,11.8,14
,12.5,13.8,29
17,1.65,2.6,16.5
,3.5,4.8,9
,6,6.8,6
,7.7,8.6,19
,9.2,10.8,17
,13.2,14.6,40
18,1.9,2.6,12
,4,5.8,7
,6.1,6.8,7.5
,7.6,8.6,23
,9.3,10.8,29
,11.1,12.6,20
1,14.2,15.8,43
19,1.75,2.65,11
,3.7,4.7,10
,5.7,6.5,10
,6.9,7.7,19
,9.25,10.8,13
,10.25,11.6,24
,11.3,12.8,18
,12.6,13.8,22
,13.7,14.6,20
,14.7,15.6,50
20,2.1,3.8,9
,4,4.8,10
,6.8,7.8,15
,10.1,11.8,32
1,14.2,15.8,100
END,END,END,END
