1-2,4.9,5.8,6.5
3-2,3.8,4.8,80
4-2,4.,5.8,8
5-2,4.,4.8,6
6-2,4.,4.8,6
7-2,3.8,4.8,6.5
8-2,4.5,5.6,5.5
9-2,4.1,5.6,5
10-2,4.1,4.8,5.5
12-2,4.2,5.6,8
13-3,5.7,6.6,3.5
15-3,5.6,6.5,3
16-2,4.5,5.8,6
17-3,6.,6.8,6
18-2,4.,5.8,7
END,END,END,END
