1,10.10, 384.8 , 3.785 , 1.196 , 13.35 ,-0.344 , 0.79 , 11.35 , 40.6 , 13352.68 ,
1,10.10, 564.4 , 2.725 , 2.321 , 19.58 ,-0.203 , 0.79 , 16.65 , 87.6 , 19112.03 ,
1,10.10, 656.8 , 2.539 , 2.767 , 22.79 ,-0.186 , 0.79 , 19.37 , 109.7 , 21839.38 ,
1,10.10, 636.8 , 3.173 , 2.053 , 22.1 ,-0.199 , 0.79 , 18.78 , 86.2 , 22096.58 ,
1,10.10, 1091.5 , 2.128 , 5.03 , 37.87 ,-0.066 , 0.79 , 32.19 , 220.8 , 34650 ,
1,10.10, 381.7 , 4.249 , 0.845 , 13.24 ,-0.534 , 0.79 , 11.26 , 33.1 , 13243.38 ,
1,10.10, 378.5 , 3.903 , 0.878 , 13.13 ,-0.402 , 0.79 , 11.16 , 36.9 , 13134.08 ,
1,10.10, 423.7 , 2.451 , 1.506 , 14.7 ,-0.26 , 0.79 , 12.5 , 66.5 , 13961.1 ,
1,10.10, 436.3 , 2.625 , 1.397 , 15.14 ,-0.193 , 0.79 , 12.87 , 64.7 , 14632.73 ,
1,10.10, 553.9 , 2.846 , 1.579 , 19.22 ,-0.308 , 0.79 , 16.34 , 78.9 , 18965.01 ,
1,10.10, 1064.2 , 2.049 , 4.073 , 36.93 ,-0.064 , 0.79 , 31.39 , 213.5 , 33447.98 ,
1,10.10, 924.5 , 2.028 , 3.461 , 32.08 ,-0.103 , 0.79 , 27.27 , 182.4 , 28976.87 ,
1,10.10, 614.8 , 1.935 , 2.336 , 21.33 ,-0.138 , 0.79 , 18.13 , 117.7 , 18861 ,
1,10.10, 416.3 , 2.551 , 1.163 , 14.45 ,-0.129 , 0.79 , 12.28 , 61.4 , 13862 ,
1,10.10, 413.2 , 2.357 , 1.213 , 14.34 ,-0.137 , 0.79 , 12.19 , 64.5 , 13475.41 ,
1,10.10, 720.8 , 2.227 , 2.176 , 25.01 ,-0.102 , 0.79 , 21.26 , 126.3 , 23161.82 ,
1,10.10, 1035.8 , 1.902 , 3.56 , 35.94 ,-0.059 , 0.79 , 30.55 , 212.3 , 31483.84 ,
1,10.10, 1302.5 , 1.848 , 4.483 , 45.2 ,-0.058 , 0.79 , 38.42 , 279.9 , 38977.06 ,
1,10.10, 1279.4 , 2.018 , 3.926 , 44.4 ,-0.054 , 0.79 , 37.74 , 257.5 , 40048.59 ,
1,10.10, 1137.7 , 1.795 , 3.824 , 39.48 ,-0.06 , 0.79 , 33.56 , 242.7 , 33513.18 ,
1,10.10, 196.9 , 2.504 , 0.463 , 6.83 ,-0.509 , 0.79 , 5.81 , 25.8 , 6523.36 ,
END,END,END
