134
 9 
 3 
90,90,90,2.31,2.31,╪сть
135,90,180,1.41,3.72,╪сть
180,120,300,2.32,6.04,╪сть
225,120,420,2.77,8.81,╪сть
270,150,570,3.06,11.87,╪сть
315,150,720,3.1,14.97,╪сть
360,180,900,5.07,20.04,╪сть
405,,900,,20.04,╪сть
460,,900,,20.04,╪сть
315,,900,,20.04,п╤ть
270,,900,,20.04,п╤ть
0,,900,,20.04,п╤ть
46,4
 4 
