14,4,8.90-9.20,9.8,11.0,9.2,黏土　　　　　,7
14,5,10.80-11.10,11.6,30.0,24.3,黏土　　　　　,7
14,6,12.80-13.10,13.8,25.0,19.5,花岗岩　　　　,8
15,1,1.60-1.90,2.6,10.0,10.0,粉质黏土　　　,2
15,2,3.50-3.80,4.8,7.0,6.6,粉质黏土　　　,3
15,3,5.60-5.90,6.5,3.0,2.7,粉土　　　　　,4
15,4,7.10-7.40,7.8,20.0,17.6,粗砾砂　　　　,6
15,5,8.80-9.10,9.8,16.0,13.4,粗砾砂　　　　,6
15,6,10.70-11.00,11.6,13.0,10.5,粗砾砂　　　　,6
16,1,2.60-2.90,3.8,8.5,8.2,粉质黏土　　　,3
16,2,4.50-4.80,5.8,6.0,5.5,粉土　　　　　,4
16,3,6.50-6.80,7.8,29.0,25.5,粗砾砂　　　　,6
16,4,10.30-10.60,11.8,14.0,11.3,黏土　　　　　,7
16,5,12.50-12.80,13.8,29.0,22.6,花岗岩　　　　,8
17,1,1.65-1.95,2.6,16.5,16.5,粉质黏土　　　,2
17,2,3.50-3.80,4.8,9.0,8.5,粉质黏土　　　,3
17,3,6.00-6.30,6.8,6.0,5.4,粉土　　　　　,4
17,4,7.70-8.00,8.6,19.0,16.3,粗砾砂　　　　,6
17,5,9.20-9.50,10.8,17.0,13.9,粗砾砂　　　　,6
17,6,13.20-13.50,14.6,40.0,30.8,黏土　　　　　,7
18,1,1.90-2.20,2.6,12.0,12.0,粉质黏土　　　,2
18,2,4.00-4.30,5.8,7.0,6.4,粉土　　　　　,4
18,3,6.10-6.40,6.8,7.5,6.8,粉质黏土　　　,5
18,4,7.60-7.90,8.6,23.0,19.8,粗砾砂　　　　,6
18,5,9.30-9.60,10.8,29.0,23.8,粗砾砂　　　　,6
18,6,11.10-11.40,12.6,20.0,15.8,黏土　　　　　,7
18,7,14.20-14.50,15.8,43.0,32.3,花岗岩　　　　,8
19,1,1.75-2.05,2.7,11.0,11.0,粉质黏土　　　,2
19,2,3.70-4.00,4.7,10.0,9.5,粉质黏土　　　,3
19,3,5.70-6.00,6.5,10.0,9.1,粉质黏土　　　,5
19,4,6.90-7.20,7.7,19.0,16.7,粗砾砂　　　　,6
19,5,9.25-9.55,10.8,13.0,10.7,粗砾砂　　　　,6
19,6,10.25-10.55,11.6,24.0,19.4,粗砾砂　　　　,6
19,7,11.30-11.60,12.8,18.0,14.2,粗砾砂　　　　,6
19,8,12.60-12.90,13.8,22.0,17.2,黏土　　　　　,7
19,9,13.70-14.00,14.6,20.0,15.4,花岗岩　　　　,8
19,10,14.70-15.00,15.6,50.0,37.5,花岗岩　　　　,8
20,1,2.10-2.40,3.8,9.0,8.7,粉质黏土　　　,2
20,2,4.00-4.30,4.8,10.0,9.4,粉质黏土　　　,3
20,3,6.80-7.10,7.8,15.0,13.2,粗砾砂　　　　,6
20,4,10.10-10.40,11.8,32.0,25.9,粗砾砂　　　　,6
20,5,14.20-14.50,15.8,100.0,75.0,花岗岩　　　　,8
