,1-1,1,61.9,75.1,84,106.1,,,,,59.6,13.33,
,1-2,1,,,77.4,106.1,130.4,143.7,,,58.6,12.58,
,1-3,1,,,22.1,44.2,66.3,88.4,,,0.0,12.46,
