2-1,7.35,不固结不排水剪UU
11.60,12.19,,
144,8
3.91,3.92
3.90,1.50
100,,,
,500,14.7,
184.3,,
200,,,
,650,23.5,
332.0,,
300,,,
,850,35,
491.2,,
,,,
,,,
,,
,,,
,,,
,,
13.5~14.1,淤泥质粉质粘土
,
2-2,7.37,固结不排水剪CU
6.73,15.15,6.38,21.09
146,8
3.90,3.91
3.92,1.52
100,12,,
,500,14.7,38
192.2,154.2,62.0
200,15,,
,650,23.5,75
351.7,276.7,125.0
300,18,,
,850,35,112
533.4,421.4,188.0
,,,
,,,
,,
,,,
,,,
,,
1.3~1.5,淤泥质粘土
,
