1,,17,5,1.8,17,5,1.8
W,,17,5,1,17,5,1.8
1,,,,,,,
2,,13,10,2.7,13,9,2.6
W,,13,10,2.7,13,9,2.6
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
END,END,END,END,END,END,END,END
,.7,,,,
,1.9,,,,
1.5,1.9,1.4,1.4,1.3,1
,,2.1,,,
,,2.7,,,
2.8,3,2.7,2.5,2.5,2.6
4.2,4.2,4.2,4,3.9,3.7
5.6,6.3,6,5.4,5.1,5.6
6.6,7.1,7,6.4,6,6.4
12.5,12.3,10.2,10.1,9.8,8
13.5,13.5,12.4,12.4,11.7,9.9
